0	1	2
98	21423	Lecture 28: Organic Glasses - Polymers: Synthesis by Addition Polymerization and by Condensation Polymerization
98	34252	Machine Learning in Vision
99	72163	The Intrinsic Geometries of Learning
99	72955	Generating Images from Captions with Attention
100	1573	Observing space
100	87482	Sensorial Space Prototype
101	12739	Multi-Armed Bandits with Betting
101	25415	Engineering New Approaches to Cancer Detection and Therapy
101	63678	Multi-Armed Bandits with Betting
101	80273	The Brain and Mind
102	3174	Introduction to Nuclear Physics
102	83831	Comportamiento MecÃ¡nico DinÃ¡mico de Materiales PolimÃ©ricos
102	84551	ModificaciÃ³n del comportameinto de materiales polimÃ©ricos mediante la incorporaciÃ³n de materias
102	84605	Comportamiento mecÃ¡nico-dinÃ¡mico de materiales polimÃ©ricos. Ãngulo de desfase.
102	84689	Comportamiento ElÃ¡stico, PlÃ¡stico y Viscoso en PolÃ­meros
102	134619	Learning with Probabilities
103	38462	Lecture 13 - Jacques Lacan in Theory
103	63990	Multiple kernel learning for multiple sources
103	79799	Neighbourhood Components Analysis and Metric Learning
104	8412	Finding Text Reuse on the Web
104	8413	Disorder Inequality: A Combinatorial Approach to Nearest Neighbor Search
104	8440	Learning to Rank for User Personalized News Article Retrieval
104	8450	Information Arbitrage Across Multi-lingual Wikipedia 
104	10337	KE4IR: Knowledge Extraction for Information Retrieval
104	80068	Improving Visual Relationship Detection using Semantic Modeling of Scene Descriptions
105	17961	Opportunities and Challenges for Remote Sensing in Agricultural Applications of Data Science
105	22764	Lecture 20: Cancer
105	30615	The Parameter Server
105	66236	Analyzing and Linking Big Data with Stratosphere
105	68604	Online Discovery and Maintenance of Time Series Motifs
105	87136	Modelo de negocio y estrategia.
106	81384	Learning to localise sounds with spiking neural networks
106	81385	Deciphering subsampled data: adaptive compressive sampling as a principle of brain communication
106	81386	Synergies in learning words and their referents
106	81387	Why are some word orders more common than others? A uniform information density account
106	81424	Layered image motion with explicit occlusions, temporal consistency, and depth ordering
106	81425	Multiple Kernel Learning and the SMO Algorithm
106	136127	Iterative Path Integral Method for Nonlinear Stochastic Optimal Control
107	37435	Europe Media Monitor (EMM) System
107	85805	Llenguatge C: Estructura condicional mÃºltiple ifelse
107	85852	Llenguatge C: Estructura iterativa while
107	87006	La competencia de Creatividad y su relaciÃ³n con la innovaciÃ³n
107	136596	From traditional photoemission to laser photoemission: disclosing novel phenomena in the time domain at surfaces and interfaces
108	17322	Statistically Sound Pattern Discovery 
108	64829	Conftrotter
109	22755	Lecture 9: Human Genetics
109	23216	Lecture 8: Genetics 3
109	27929	Effective teaching for disabled students
109	83934	Comportamiento ViscoelÃ¡stico de Materiales PlÃ¡sticos. Historia Tensional
109	84777	CapÃ­tulo 2. El medio
109	85776	Blender: Llums
109	87032	PolinizaciÃ³n y cuajado en cultivos hortÃ­colas
110	18263	Extracting Optimal Performance From Dynamic Time Warping
110	22658	Lecture 26: Nervous System 1
110	27123	Weapons of Mass Confusion: Assessing the True Risks
110	27475	Latent Variable Models for Document Analysis
110	27476	Latent Variable Models for Document Analysis
110	27477	Latent Variable Models for Document Analysis
110	27561	Latent Variable Models for Document Analysis
110	28620	Web Spam Detection 
110	28654	Web Spam Detection 
110	29864	Over-complete representations on recurrent neural networks can support persistent percepts
110	38009	Lecture 23: Immunology 2
110	68854	Over-complete representations on recurrent neural networks can support persistent percepts
110	81065	Web Spam Detection 
110	83141	Countable, uncountable nouns and quantifiers
110	85252	PequeÃ±o Tren y Rutas de Reparto
110	85351	Passive Voice: Part I
111	851	An efficient approach to stochastic optimal control
111	3307	The Standard Model
111	3308	The Standard Model
111	3445	The Standard Model
111	19702	Lecture 6: Complex Numbers and Complex Exponentials
111	30228	Regularization Strategies and Empirical Bayesian Learning for MKL
111	30604	Online MKL for Structured Prediction
111	37618	Recommender Systems with Social Regularization
111	64311	Recommender Systems with Social Regularization
111	65498	Structured Regularization for MKL
111	67561	Distance Metric Learning for Kernel Machines
111	67675	Co-regularized Spectral Clustering with Multiple Kernels
111	68829	Learning Kernels via Margin-and-Radius Ratios
111	69353	Text Analysis for Social Media Cybersecurity: the AMiCA Project
111	70251	Online MKL for Structured Prediction
111	70449	Various Formulations for Learning the Kernel and Structured Sparsity
111	74825	Labelling Image Regions Using Wavelet Features and Spatial Prototypes
111	77671	Predictive Modelling in the Wild: Success Factors in Data Mining Competitions and Real-World Applications
111	80093	Multiple Kernel Learning for Efficient Conformal Predictions
111	80170	Regularization Strategies and Empirical Bayesian Learning for MKL
111	83213	ConfiguraciÃ³n del protocolo PPP en routers CISCO
111	84993	Direcciones IP multicast.
111	85472	Calculo de limites de sucesiones: Criterio del Sandwich
111	87421	Text Analysis for Social Media Cybersecurity: the AMiCA Project
111	88311	Learning Fast-Mixing Models for Structured Prediction
111	88920	Financial Aggression and Social Impoverishment
111	102629	Minimax rates for memory-bounded sparse linear regression
111	136380	Minimax rates for memory-bounded sparse linear regression
112	1407	Knowledge Discovery in Life Sciences: overview, case studies, complexities, and lessons learned 
112	4919	A Generative Perspective on MRFs in Low-Level Vision
112	8147	Career Chances of Women in Nanosciences in European Universities â Conditions for International Diversity
112	16422	Representing Supply Chain Events on the Web of Data
112	74338	Spontaneous Symmetry Breaking at the Fluctuating Level
112	74390	Stochastic Control as a Non-Equilibrium Statistical Physics: Gauge Invariant Bellman Equation
112	74391	Stochastic variational principles for dissipative and conservative systems
112	74392	PAC-Bayesian Analysis: A Link Between Inference and Statistical Physics
112	74428	Attention as a Design Criterion and Analysis Tool in Control Problems
112	77537	10 Years of Semantic Web research: Searching for universal patterns
112	79058	Influence-based Policy Abstraction for Weakly-coupled DEC-POMDPs
112	79113	Path integral control from probabilistic viewpoint
112	79114	Spontaneous Symmetry Breaking at the Fluctuating Level
112	83573	Elementos de un CalorimÃ©trico Diferencial de Barrido
112	84335	TÃ©cnicas de AnÃ¡lisis TÃ©rmico para CaracterizaciÃ³n de PolÃ­meros
112	85723	El biestable D activo por flanco
112	86836	El biestable RS activo por nivel
112	136534	Bio- and Cheminformatics Methods for Mode of Action Analysis
112	136535	Life beyond the pixels: machine learning and image analysis methods for HCS
112	136711	Transformative Machine Learning: Explicit is Better than Implicit
112	137282	DOREMUS: A Graph of Linked Musical Works
113	4416	Online Learning: Beyond Regret 
113	4585	Learning in the real world
113	9512	Lecture 3 -  Iterative deletion and the median-voter theorem
113	9767	Lecture 24 -  Asymmetric information: auctions and the winner's curse
113	23012	Lecture 21: Torques - Oscillating Bodies - Hoops
113	24074	An Introductory Science Curriculum for 21st Century Biologists
113	24841	Statistical Natural Language Parsing: Reliable Models of Language?
113	24984	The Quest for Mars: Scientific and Human Destiny?
113	25014	J.H. Keenanâs Contribution to Thermodynamics
113	25299	Leadership and Entrepreneurship
113	25426	Representation of Value in the Primate Brain
113	34575	Overview of Automated Reasoning
113	35180	Fundamentals Of Metalogic
113	64539	Minimax algorithm for learning rotations 
113	66118	Minimax Regret of Finite Partial-Monitoring Games in Stochastic Environments
113	66521	Bringing (Web) Databases to the Masses
113	67532	Learning invariant features using the Transformed Indian Buffet Process
113	67644	LSTD with Random Projections
113	68000	 Planning for Future Internet Services
113	69814	New complex networks for social systems
